Categorie;Veldnaam;Veldnaam_gebruiker;input_var;target_var;title_start;title_end;position_y_label
Doorstroom vanuit B;INS_Instelling_voor_M_opgevuld;B instelling;INS_Instelling_voor_M_opgevuld;INS_Instelling_na_B_opgevuld;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;INS_Instelling_voor_M_opgevuld;B instelling;INS_Instelling_voor_M_opgevuld;OPL_Onderdeel_CROHO_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;INS_Instelling_voor_M_opgevuld;B instelling;INS_Instelling_voor_M_opgevuld;OPL_CBS_Label_rubriek_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;INS_Instelling_voor_M_opgevuld;B instelling;INS_Instelling_voor_M_opgevuld;OPL_CBS_Label_richting_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Instroom bij M;INS_Instelling_na_B_opgevuld;M instelling;INS_Instelling_na_B_opgevuld;INS_Instelling_voor_M_opgevuld;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;INS_Instelling_na_B_opgevuld;M instelling;INS_Instelling_na_B_opgevuld;OPL_Onderdeel_CROHO_examen;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;INS_Instelling_na_B_opgevuld;M instelling;INS_Instelling_na_B_opgevuld;OPL_CBS_Label_rubriek_examen;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;INS_Instelling_na_B_opgevuld;M instelling;INS_Instelling_na_B_opgevuld;OPL_CBS_Label_richting_examen;Waarvandaan stromen ; Master studenten in?;left
Doorstroom vanuit B;OPL_Onderdeel_CROHO_examen;B Croho sector;OPL_Onderdeel_CROHO_examen;OPL_Onderdeel_CROHO_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_Onderdeel_CROHO_examen;B Croho sector;OPL_Onderdeel_CROHO_examen;INS_Instelling_na_B_opgevuld;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_Onderdeel_CROHO_examen;B Croho sector;OPL_Onderdeel_CROHO_examen;OPL_CBS_Label_rubriek_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_Onderdeel_CROHO_examen;B Croho sector;OPL_Onderdeel_CROHO_examen;OPL_CBS_Label_richting_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Instroom bij M;OPL_Onderdeel_CROHO_instroom;M Croho sector;OPL_Onderdeel_CROHO_instroom;OPL_Onderdeel_CROHO_examen;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_Onderdeel_CROHO_instroom;M Croho sector;OPL_Onderdeel_CROHO_instroom;INS_Instelling_voor_M_opgevuld;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_Onderdeel_CROHO_instroom;M Croho sector;OPL_Onderdeel_CROHO_instroom;OPL_CBS_Label_rubriek_examen;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_Onderdeel_CROHO_instroom;M Croho sector;OPL_Onderdeel_CROHO_instroom;OPL_CBS_Label_richting_examen;Waarvandaan stromen ; Master studenten in?;left
Doorstroom vanuit B;OPL_CBS_Label_rubriek_examen;B ISCED-F Rubriek;OPL_CBS_Label_rubriek_examen;OPL_CBS_Label_rubriek_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_CBS_Label_rubriek_examen;B ISCED-F Rubriek;OPL_CBS_Label_rubriek_examen;INS_Instelling_na_B_opgevuld;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_CBS_Label_rubriek_examen;B ISCED-F Rubriek;OPL_CBS_Label_rubriek_examen;OPL_Onderdeel_CROHO_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_CBS_Label_rubriek_examen;B ISCED-F Rubriek;OPL_CBS_Label_rubriek_examen;OPL_CBS_Label_richting_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Instroom bij M;OPL_CBS_Label_rubriek_instroom;M ISCED-F Rubriek;OPL_CBS_Label_rubriek_instroom;OPL_CBS_Label_rubriek_examen;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_CBS_Label_rubriek_instroom;M ISCED-F Rubriek;OPL_CBS_Label_rubriek_instroom;INS_Instelling_voor_M_opgevuld;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_CBS_Label_rubriek_instroom;M ISCED-F Rubriek;OPL_CBS_Label_rubriek_instroom;OPL_Onderdeel_CROHO_examen;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_CBS_Label_rubriek_instroom;M ISCED-F Rubriek;OPL_CBS_Label_rubriek_instroom;OPL_CBS_Label_richting_examen;Waarvandaan stromen ; Master studenten in?;left
Doorstroom vanuit B;OPL_CBS_Label_richting_examen;B ISCED-F Richting;OPL_CBS_Label_richting_examen;OPL_CBS_Label_richting_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_CBS_Label_richting_examen;B ISCED-F Richting;OPL_CBS_Label_richting_examen;INS_Instelling_na_B_opgevuld;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_CBS_Label_richting_examen;B ISCED-F Richting;OPL_CBS_Label_richting_examen;OPL_Onderdeel_CROHO_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Doorstroom vanuit B;OPL_CBS_Label_richting_examen;B ISCED-F Richting;OPL_CBS_Label_richting_examen;OPL_CBS_Label_rubriek_instroom;Waar stromen ; Bachelor gediplomeerden naar toe?;right
Instroom bij M;OPL_CBS_Label_richting_instroom;M ISCED-F Richting;OPL_CBS_Label_richting_instroom;OPL_CBS_Label_richting_examen;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_CBS_Label_richting_instroom;M ISCED-F Richting;OPL_CBS_Label_richting_instroom;INS_Instelling_voor_M_opgevuld;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_CBS_Label_richting_instroom;M ISCED-F Richting;OPL_CBS_Label_richting_instroom;OPL_Onderdeel_CROHO_examen;Waarvandaan stromen ; Master studenten in?;left
Instroom bij M;OPL_CBS_Label_richting_instroom;M ISCED-F Richting;OPL_CBS_Label_richting_instroom;OPL_CBS_Label_rubriek_examen;Waarvandaan stromen ; Master studenten in?;left
